sigma,mae,rmse,mape_ge50
0.000000000000000000e+00,2.524426727294921875e+02,5.830261036180112342e+02,4.834316253662109375e+01
1.000000000000000021e-02,2.524614715576171875e+02,5.830369038491473930e+02,4.835122680664062500e+01
5.000000000000000278e-02,2.527616119384765625e+02,5.831355706437398112e+02,4.849032211303710938e+01
1.000000000000000056e-01,2.535898590087890625e+02,5.833886729702592220e+02,4.894886016845703125e+01
