house,n,mae,rmse,mape_ge50
1.000000000000000000e+00,2.755900000000000000e+04,2.067684783935546875e+02,5.198316434192901170e+02,5.127243423461914062e+01
2.000000000000000000e+00,2.662900000000000000e+04,3.143877868652343750e+02,8.572841200558890478e+02,7.677041625976562500e+01
3.000000000000000000e+00,2.650900000000000000e+04,3.110788269042968750e+02,6.615920192989029829e+02,4.502919387817382812e+01
4.000000000000000000e+00,2.734400000000000000e+04,1.562306060791015625e+02,3.043233144001622463e+02,4.420653152465820312e+01
5.000000000000000000e+00,2.796400000000000000e+04,2.424698486328125000e+02,5.026644320518411178e+02,2.976687622070312500e+01
1.100000000000000000e+01,1.689600000000000000e+04,3.095280456542968750e+02,4.714303368473437672e+02,4.140145111083984375e+01
