alpha,empirical_coverage,avg_interval_width
2.000000000000000111e-01,8.579865403103968946e-01,7.871882324218750000e+02
1.000000000000000056e-01,9.292668676681861140e-01,1.589033569335937500e+03
5.000000000000000278e-02,9.669317619461830215e-01,2.795914794921875000e+03
