eps,mae,rmse,mape_ge50
0.000000000000000000e+00,2.916365051269531250e+02,7.046657452296088877e+02,5.503665161132812500e+01
1.000000000000000021e-02,2.958720092773437500e+02,7.064038549229470618e+02,5.658752441406250000e+01
5.000000000000000278e-02,3.133138732910156250e+02,7.136723469141844589e+02,6.301807022094726562e+01
1.000000000000000056e-01,3.358150634765625000e+02,7.234509097029321083e+02,7.137133789062500000e+01
