cycle,total_labeled,mae,rmse,mape_ge50,update_time_sec
0,0,252.4426727294922,583.0261036180112,48.343163,0.0
1,5000,252.30133056640625,582.8605643719602,48.376698,0.1519608497619629
2,10000,252.0321807861328,582.5445261952085,48.442,0.28616952896118164
3,15000,251.66371154785156,582.1277243870111,48.527283,0.5577201843261719
4,20000,251.19166564941406,581.6155033611122,48.629124,0.6000256538391113
5,25000,250.63235473632812,581.03915530711,48.745518,0.9039814472198486
